Disease,Description,Symptoms,Precautions,Medicines,Dosage,Emergency_Signs,Lifestyle_Tips
Disease_206,A simulated disease profile for Disease_206 with common medical symptoms and treatments.,"Blurred vision,Vomiting,Nausea,Loss of appetite,Rash","Regular hand washing,Avoid contact with infected individuals,Drink plenty of water","Omeprazole,Metformin,Loratadine","1 tablet after meals,250mg every 6 hours","High-grade fever,Severe chest pain","Adequate sleep,Hydration,Daily exercise"
Disease_207,A simulated disease profile for Disease_207 with common medical symptoms and treatments.,"Headache,Loss of appetite,Fever,Fatigue,Vomiting","Rest adequately,Avoid contact with infected individuals,Avoid spicy food","Paracetamol,Omeprazole,Prednisone","10ml thrice a day,250mg every 6 hours","Uncontrolled bleeding,Loss of consciousness","Daily exercise,Stress management,Adequate sleep"
Disease_208,A simulated disease profile for Disease_208 with common medical symptoms and treatments.,"Loss of appetite,Rash,Fever,Sore throat,Shortness of breath","Avoid contact with infected individuals,Use protective gear,Drink plenty of water","Cetirizine,Azithromycin,Metformin","200mg every 8 hours,250mg every 6 hours","Severe dehydration,Difficulty breathing","Hydration,Adequate sleep,Daily exercise"
Disease_209,A simulated disease profile for Disease_209 with common medical symptoms and treatments.,"Shortness of breath,Nausea,Fatigue,Blurred vision,Sore throat","Avoid spicy food,Vaccination,Maintain hygiene","Loratadine,Cetirizine,Azithromycin","100mg once daily,200mg every 8 hours","Severe chest pain,Difficulty breathing","Hydration,Regular checkups,Low-fat diet"
Disease_210,A simulated disease profile for Disease_210 with common medical symptoms and treatments.,"Joint pain,Vomiting,Fever,Dizziness,Rash","Regular hand washing,Maintain hygiene,Eat a balanced diet","Loratadine,Ibuprofen,Omeprazole","200mg every 8 hours,500mg twice a day","Severe chest pain,High-grade fever","Limit alcohol intake,Adequate sleep,Regular checkups"
Disease_211,A simulated disease profile for Disease_211 with common medical symptoms and treatments.,"Chest pain,Sore throat,Rash,Cough,Fatigue","Avoid spicy food,Use protective gear,Physical distancing","Metformin,Cetirizine,Aspirin","500mg twice a day,100mg once daily","Uncontrolled bleeding,Difficulty breathing","Low-fat diet,Stress management,Limit alcohol intake"
Disease_212,A simulated disease profile for Disease_212 with common medical symptoms and treatments.,"Nausea,Fatigue,Joint pain,Headache,Fever","Avoid spicy food,Eat a balanced diet,Regular hand washing","Metformin,Ibuprofen,Aspirin","1 tablet after meals,10ml thrice a day","Severe chest pain,Uncontrolled bleeding","Regular checkups,Limit alcohol intake,Daily exercise"
Disease_213,A simulated disease profile for Disease_213 with common medical symptoms and treatments.,"Fever,Chest pain,Fatigue,Rash,Blurred vision","Use protective gear,Maintain hygiene,Physical distancing","Loratadine,Amoxicillin,Aspirin","10ml thrice a day,250mg every 6 hours","Severe chest pain,Difficulty breathing","Limit alcohol intake,Low-fat diet,Adequate sleep"
Disease_214,A simulated disease profile for Disease_214 with common medical symptoms and treatments.,"Shortness of breath,Vomiting,Fever,Chest pain,Dizziness","Eat a balanced diet,Avoid contact with infected individuals,Maintain hygiene","Amoxicillin,Paracetamol,Aspirin","250mg every 6 hours,10ml thrice a day","Difficulty breathing,Uncontrolled bleeding","Stress management,Hydration,Low-fat diet"
Disease_215,A simulated disease profile for Disease_215 with common medical symptoms and treatments.,"Blurred vision,Joint pain,Loss of appetite,Dizziness,Muscle pain","Physical distancing,Eat a balanced diet,Rest adequately","Aspirin,Loratadine,Cetirizine","10ml thrice a day,250mg every 6 hours","Severe chest pain,Uncontrolled bleeding","Limit alcohol intake,Regular checkups,Adequate sleep"
Disease_216,A simulated disease profile for Disease_216 with common medical symptoms and treatments.,"Shortness of breath,Nausea,Dizziness,Loss of appetite,Headache","Vaccination,Eat a balanced diet,Physical distancing","Ibuprofen,Amoxicillin,Loratadine","500mg twice a day,200mg every 8 hours","Severe chest pain,Severe dehydration","Regular checkups,Avoid smoking,Low-fat diet"
Disease_217,A simulated disease profile for Disease_217 with common medical symptoms and treatments.,"Muscle pain,Dizziness,Cough,Joint pain,Rash","Avoid contact with infected individuals,Avoid spicy food,Regular hand washing","Prednisone,Ibuprofen,Loratadine","500mg twice a day,1 tablet after meals","Severe dehydration,Severe chest pain","Daily exercise,Regular checkups,Avoid smoking"
Disease_218,A simulated disease profile for Disease_218 with common medical symptoms and treatments.,"Fatigue,Cough,Headache,Rash,Shortness of breath","Vaccination,Avoid spicy food,Use protective gear","Metformin,Ibuprofen,Cetirizine","1 tablet after meals,250mg every 6 hours","Loss of consciousness,High-grade fever","Adequate sleep,Regular checkups,Stress management"
Disease_219,A simulated disease profile for Disease_219 with common medical symptoms and treatments.,"Loss of appetite,Sore throat,Chest pain,Shortness of breath,Fatigue","Avoid spicy food,Physical distancing,Avoid contact with infected individuals","Ibuprofen,Cetirizine,Omeprazole","200mg every 8 hours,500mg twice a day","Severe chest pain,Difficulty breathing","Adequate sleep,Regular checkups,Limit alcohol intake"
Disease_220,A simulated disease profile for Disease_220 with common medical symptoms and treatments.,"Nausea,Loss of appetite,Blurred vision,Fatigue,Sore throat","Drink plenty of water,Avoid contact with infected individuals,Maintain hygiene","Amoxicillin,Metformin,Ibuprofen","200mg every 8 hours,500mg twice a day","Severe dehydration,Loss of consciousness","Adequate sleep,Daily exercise,Hydration"
Disease_221,A simulated disease profile for Disease_221 with common medical symptoms and treatments.,"Chest pain,Loss of appetite,Sore throat,Muscle pain,Blurred vision","Physical distancing,Use protective gear,Rest adequately","Metformin,Prednisone,Cetirizine","250mg every 6 hours,1 tablet after meals","Loss of consciousness,Uncontrolled bleeding","Stress management,Avoid smoking,Daily exercise"
Disease_222,A simulated disease profile for Disease_222 with common medical symptoms and treatments.,"Joint pain,Muscle pain,Rash,Blurred vision,Fever","Rest adequately,Use protective gear,Eat a balanced diet","Omeprazole,Paracetamol,Amoxicillin","250mg every 6 hours,1 tablet after meals","Difficulty breathing,Uncontrolled bleeding","Adequate sleep,Hydration,Regular checkups"
Disease_223,A simulated disease profile for Disease_223 with common medical symptoms and treatments.,"Vomiting,Fever,Loss of appetite,Dizziness,Joint pain","Regular hand washing,Vaccination,Avoid spicy food","Azithromycin,Amoxicillin,Omeprazole","500mg twice a day,1 tablet after meals","Uncontrolled bleeding,Severe dehydration","Stress management,Limit alcohol intake,Adequate sleep"
Disease_224,A simulated disease profile for Disease_224 with common medical symptoms and treatments.,"Shortness of breath,Muscle pain,Headache,Loss of appetite,Fever","Regular hand washing,Maintain hygiene,Vaccination","Cetirizine,Aspirin,Metformin","200mg every 8 hours,100mg once daily","Difficulty breathing,Loss of consciousness","Limit alcohol intake,Low-fat diet,Hydration"
Disease_225,A simulated disease profile for Disease_225 with common medical symptoms and treatments.,"Fever,Shortness of breath,Dizziness,Rash,Cough","Maintain hygiene,Avoid contact with infected individuals,Rest adequately","Azithromycin,Aspirin,Prednisone","1 tablet after meals,200mg every 8 hours","Uncontrolled bleeding,Severe chest pain","Daily exercise,Stress management,Low-fat diet"
Disease_226,A simulated disease profile for Disease_226 with common medical symptoms and treatments.,"Shortness of breath,Nausea,Chest pain,Loss of appetite,Blurred vision","Eat a balanced diet,Drink plenty of water,Maintain hygiene","Cetirizine,Prednisone,Metformin","10ml thrice a day,250mg every 6 hours","Loss of consciousness,Severe dehydration","Limit alcohol intake,Daily exercise,Adequate sleep"
Disease_227,A simulated disease profile for Disease_227 with common medical symptoms and treatments.,"Fever,Nausea,Dizziness,Chest pain,Sore throat","Vaccination,Avoid contact with infected individuals,Regular hand washing","Omeprazole,Amoxicillin,Azithromycin","10ml thrice a day,250mg every 6 hours","Uncontrolled bleeding,Severe chest pain","Regular checkups,Stress management,Avoid smoking"
Disease_228,A simulated disease profile for Disease_228 with common medical symptoms and treatments.,"Vomiting,Chest pain,Sore throat,Muscle pain,Joint pain","Physical distancing,Eat a balanced diet,Maintain hygiene","Azithromycin,Metformin,Omeprazole","250mg every 6 hours,1 tablet after meals","Uncontrolled bleeding,Severe chest pain","Limit alcohol intake,Avoid smoking,Regular checkups"
Disease_229,A simulated disease profile for Disease_229 with common medical symptoms and treatments.,"Shortness of breath,Chest pain,Cough,Joint pain,Sore throat","Drink plenty of water,Physical distancing,Regular hand washing","Aspirin,Loratadine,Omeprazole","100mg once daily,250mg every 6 hours","High-grade fever,Severe chest pain","Avoid smoking,Low-fat diet,Hydration"
Disease_230,A simulated disease profile for Disease_230 with common medical symptoms and treatments.,"Fever,Nausea,Sore throat,Joint pain,Rash","Avoid contact with infected individuals,Physical distancing,Maintain hygiene","Ibuprofen,Cetirizine,Aspirin","100mg once daily,10ml thrice a day","Severe chest pain,Uncontrolled bleeding","Daily exercise,Stress management,Adequate sleep"
Disease_231,A simulated disease profile for Disease_231 with common medical symptoms and treatments.,"Fever,Chest pain,Muscle pain,Blurred vision,Fatigue","Vaccination,Eat a balanced diet,Avoid contact with infected individuals","Metformin,Aspirin,Prednisone","10ml thrice a day,1 tablet after meals","Uncontrolled bleeding,Severe dehydration","Stress management,Daily exercise,Hydration"
Disease_232,A simulated disease profile for Disease_232 with common medical symptoms and treatments.,"Fatigue,Nausea,Sore throat,Chest pain,Shortness of breath","Eat a balanced diet,Avoid spicy food,Physical distancing","Aspirin,Metformin,Amoxicillin","1 tablet after meals,100mg once daily","Loss of consciousness,Severe dehydration","Limit alcohol intake,Low-fat diet,Avoid smoking"
Disease_233,A simulated disease profile for Disease_233 with common medical symptoms and treatments.,"Rash,Blurred vision,Dizziness,Cough,Shortness of breath","Drink plenty of water,Physical distancing,Regular hand washing","Aspirin,Metformin,Omeprazole","250mg every 6 hours,500mg twice a day","Severe dehydration,Difficulty breathing","Daily exercise,Adequate sleep,Avoid smoking"
Disease_234,A simulated disease profile for Disease_234 with common medical symptoms and treatments.,"Nausea,Muscle pain,Chest pain,Fever,Fatigue","Avoid spicy food,Use protective gear,Eat a balanced diet","Paracetamol,Prednisone,Amoxicillin","10ml thrice a day,250mg every 6 hours","Severe dehydration,Uncontrolled bleeding","Regular checkups,Hydration,Low-fat diet"
Disease_235,A simulated disease profile for Disease_235 with common medical symptoms and treatments.,"Cough,Joint pain,Blurred vision,Chest pain,Fever","Vaccination,Eat a balanced diet,Physical distancing","Paracetamol,Omeprazole,Prednisone","500mg twice a day,100mg once daily","Loss of consciousness,Severe chest pain","Low-fat diet,Avoid smoking,Daily exercise"
Disease_236,A simulated disease profile for Disease_236 with common medical symptoms and treatments.,"Sore throat,Headache,Rash,Joint pain,Cough","Avoid spicy food,Maintain hygiene,Physical distancing","Omeprazole,Paracetamol,Aspirin","1 tablet after meals,10ml thrice a day","Severe dehydration,High-grade fever","Adequate sleep,Low-fat diet,Daily exercise"
Disease_237,A simulated disease profile for Disease_237 with common medical symptoms and treatments.,"Shortness of breath,Blurred vision,Cough,Rash,Fatigue","Eat a balanced diet,Avoid spicy food,Maintain hygiene","Omeprazole,Metformin,Ibuprofen","200mg every 8 hours,10ml thrice a day","Uncontrolled bleeding,Severe dehydration","Adequate sleep,Hydration,Avoid smoking"
Disease_238,A simulated disease profile for Disease_238 with common medical symptoms and treatments.,"Fever,Blurred vision,Headache,Cough,Fatigue","Regular hand washing,Avoid contact with infected individuals,Maintain hygiene","Aspirin,Loratadine,Cetirizine","100mg once daily,200mg every 8 hours","Uncontrolled bleeding,Loss of consciousness","Avoid smoking,Hydration,Daily exercise"
Disease_239,A simulated disease profile for Disease_239 with common medical symptoms and treatments.,"Shortness of breath,Nausea,Blurred vision,Fever,Headache","Avoid contact with infected individuals,Drink plenty of water,Rest adequately","Prednisone,Cetirizine,Ibuprofen","500mg twice a day,10ml thrice a day","Loss of consciousness,High-grade fever","Stress management,Regular checkups,Hydration"
Disease_240,A simulated disease profile for Disease_240 with common medical symptoms and treatments.,"Muscle pain,Shortness of breath,Vomiting,Fatigue,Loss of appetite","Eat a balanced diet,Regular hand washing,Maintain hygiene","Amoxicillin,Metformin,Aspirin","500mg twice a day,100mg once daily","Severe chest pain,Difficulty breathing","Regular checkups,Stress management,Adequate sleep"
